date,temperature
1/03/2000,15.25
1/09/2000,15.77
1/03/2001,15.98
1/09/2001,16.55
1/03/2002,15.32
1/09/2002,15.50
1/03/2003,17.18
1/09/2003,16.46
1/03/2004,16.30
1/09/2004,16.33
1/03/2005,15.45
1/09/2005,16.38
1/03/2006,16.26
1/09/2006,16.34
1/03/2007,17.37
1/09/2007,15.53
1/03/2008,16.91
1/09/2008,16.56
1/03/2009,15.61
1/09/2009,15.97
1/03/2010,16.34
1/09/2010,16.36
1/03/2011,16.39
1/09/2011,15.81
1/03/2012,16.08
1/09/2012,17.30
1/03/2013,17.35
1/09/2013,16.05
1/03/2014,16.25
1/09/2014,17.90
1/03/2015,16.11
1/09/2015,17.80
1/03/2016,16.33
1/09/2016,18.03
1/03/2017,16.45
1/09/2017,17.96
